hubspot_campaign,platform,mapped_campaign,confidence_score
P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,60%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,95%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,78%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,79%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,70%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Others_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_ProfessionalServices_IND_EMAIL_VikasRakesh_14MAY2026,61%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_EnergyIndustrials_IND_EMAIL_VikasRakesh_14MAY2026,60%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_HealthcarePharma_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_MediaEntertainment_IND_EMAIL_VikasRakesh_14MAY2026,61%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RetailConsumer_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Technology_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_FinancialServices_IND_EMAIL_VikasRakesh_14MAY2026,61%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_13MAY2026,63%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_12MAY2026,63%
P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,Smartlead,P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,62%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,95%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,60%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,61%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,62%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventGrowthSummit_Others_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventGrowthSummit_ProfessionalServices_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventGrowthSummit_EnergyIndustrials_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventGrowthSummit_HealthcarePharma_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventGrowthSummit_MediaEntertainment_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventGrowthSummit_RetailConsumer_IND_EMAIL_VikasRakesh_14MAY2026,64%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventGrowthSummit_Technology_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PostEventGrowthSummit_FinancialServices_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_13MAY2026,63%
P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_12MAY2026,63%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Others_IND_EMAIL_VikasRakesh_14MAY2026,79%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_ProfessionalServices_IND_EMAIL_VikasRakesh_14MAY2026,77%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RealEstateHospitality_IND_EMAIL_VikasRakesh_14MAY2026,70%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_EnergyIndustrials_IND_EMAIL_VikasRakesh_14MAY2026,72%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_HealthcarePharma_IND_EMAIL_VikasRakesh_14MAY2026,77%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_MediaEntertainment_IND_EMAIL_VikasRakesh_14MAY2026,77%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RetailConsumer_IND_EMAIL_VikasRakesh_14MAY2026,78%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Technology_IND_EMAIL_VikasRakesh_14MAY2026,78%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_FinancialServices_IND_EMAIL_VikasRakesh_14MAY2026,77%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,64%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,62%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,62%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_13MAY2026,80%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_12MAY2026,80%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,64%
P0_EVNT_MoEngageGrowth Summit_IND_EMAIL_VikasRakesh_14MAY2026,Smartlead,P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,61%
P0_EVNT_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,Smartlead,P0_EVNT_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,95%
P0_EVNT_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,Smartlead,P0_EVNT_RoundTwo_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,93%
P0_EVNT_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,Smartlead,P0_EVNT_PreeventETFutFwSEA_PH_EMAIL_NehaRakesh_05JUN26,67%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,95%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,74%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,79%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,72%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Others_IND_EMAIL_VikasRakesh_14MAY2026,64%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_ProfessionalServices_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RealEstateHospitality_IND_EMAIL_VikasRakesh_14MAY2026,60%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_EnergyIndustrials_IND_EMAIL_VikasRakesh_14MAY2026,61%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_HealthcarePharma_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_MediaEntertainment_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RetailConsumer_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Technology_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_FinancialServices_IND_EMAIL_VikasRakesh_14MAY2026,62%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_13MAY2026,62%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_12MAY2026,63%
P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,Smartlead,P0_EVNT_IIM-KSangamattendees_Thankyouemailer_EMAIL_IND_VikasRakesh_18JUN26,61%
P0_EVNT_PreeventETFutFwSEA_PH_EMAIL_NehaRakesh_05JUN26.,Smartlead,P0_EVNT_PreeventETFutFwSEA_PH_EMAIL_NehaRakesh_05JUN26,95%
P0_EVNT_RoundTwo_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,Smartlead,P0_EVNT_RoundTwo_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,95%
P0_EVNT_RoundTwo_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,Smartlead,P0_EVNT_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,93%
P0_EVNT_RoundTwo_PostEvent_BoothAtt_ETFutFwdMetroManila_PH_EMAIL_LI_NehaRakesh_05JUN26,Smartlead,P0_EVNT_PreeventETFutFwSEA_PH_EMAIL_NehaRakesh_05JUN26,66%
P0_EVNTS_KSA/IDN_PSTEVNTINDONESIASUMMMIT_NehaImeldaNaitik05Apr2026,Smartlead,P0_EVNTS_KSA_IDN_PSTEVNTINDONESIASUMMMIT_NehaImeldaNaitik05Apr2026,95%
P0_FACTOHR_IND_EMAIL_LI_PoornimaRakesh_19MAY26,Smartlead,P0_PRTN_PeopleStrongClientsOutreach_Email_LI_IND_NicholesRakesh_30MAY26,67%
P0_FACTOHR_IND_EMAIL_LI_PoornimaRakesh_19MAY26,Smartlead,P1_PRTN_FactoHRClients_EMAIL_LI_IND_PoornimaRakesh_22MAY2026,61%
P0_FACTOHR_IND_EMAIL_LI_PoornimaRakesh_19MAY26,HeyReach,P0_FACTOHR_IND_EMAIL_LI_PoornimaRakesh_19MAY26,95%
P0_GCC_PAYMNT&TRANFR_EMAIL-LI_NusratSanjeeda6May2026,Smartlead,P0_GCC_PAYMNT&TRANFR_Payments gateways-LI_NusratSanjeeda6May2026,67%
P0_GCC_PAYMNT&TRANFR_EMAIL-LI_NusratSanjeeda6May2026,Smartlead,P0_GCC_PAYMNT&TRANFR_Infra-Wallets-LI_NusratSanjeeda6May2026 - copy,60%
P0_GCC_PAYMNT&TRANFR_EMAIL-LI_NusratSanjeeda6May2026,HeyReach,P0_GCC_PAYMNT&TRANFR_infrastructure_LI_NusratSanjeeda6May2026,77%
P0_GCC_PAYMNT&TRANFR_EMAIL-LI_NusratSanjeeda6May2026,HeyReach,P0_GCC_PAYMNT&TRANFR_PAYMENT-GATEWAYS-LI_NusratSanjeeda6May2026,67%
P0_GCC_PAYMNT&TRANFR_EMAIL-LI_NusratSanjeeda6May2026,HeyReach,P0_GCC_PAYMNT&TRANFR_WALLETS AND CARDS-LI_NusratSanjeeda6May2026,60%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Others_IND_EMAIL_VikasRakesh_14MAY2026,70%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_ProfessionalServices_IND_EMAIL_VikasRakesh_14MAY2026,68%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RealEstateHospitality_IND_EMAIL_VikasRakesh_14MAY2026,63%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_EnergyIndustrials_IND_EMAIL_VikasRakesh_14MAY2026,65%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_HealthcarePharma_IND_EMAIL_VikasRakesh_14MAY2026,69%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_MediaEntertainment_IND_EMAIL_VikasRakesh_14MAY2026,69%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RetailConsumer_IND_EMAIL_VikasRakesh_14MAY2026,69%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Technology_IND_EMAIL_VikasRakesh_14MAY2026,70%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_FinancialServices_IND_EMAIL_VikasRakesh_14MAY2026,69%
P0_Post EventMoEngageGrowthSummit_IND_EMAIL_WA_VikasRakesh_14MAY2026,Smartlead,P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,62%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,95%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_DuringEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,77%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventSHRM_EMAIL_WH_IND_VikasRakesh_22MAY2026,72%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_DuringEventSHRM_EMAIL_WH_IND_VikasRakesh_21MAY2026,70%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Others_IND_EMAIL_VikasRakesh_14MAY2026,61%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_ProfessionalServices_IND_EMAIL_VikasRakesh_14MAY2026,60%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_HealthcarePharma_IND_EMAIL_VikasRakesh_14MAY2026,60%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_MediaEntertainment_IND_EMAIL_VikasRakesh_14MAY2026,60%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_RetailConsumer_IND_EMAIL_VikasRakesh_14MAY2026,60%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_Technology_IND_EMAIL_VikasRakesh_14MAY2026,61%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PostEventGrowthSummit_FinancialServices_IND_EMAIL_VikasRakesh_14MAY2026,60%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_13MAY2026,61%
P0_PostEventAMACXOCHROSummit_IND_EMAIL_WH_VikasRakesh_29MAY2026,Smartlead,P0_EVNT_PreeventMoEngage-GrowthSummit_IND_EMAIL_VikasRakesh_12MAY2026,61%
P0_PRTN_DallasLocalOutreac_DarwinboxEvent_US_EMAIL_LI_15JUN26,Smartlead,P0_PRTN_DallasLocalOutreac_DarwinboxEvent_US_EMAIL_LI_YashRakesh_15JUN26,91%
P0_PRTN_DallasLocalOutreac_DarwinboxEvent_US_EMAIL_LI_15JUN26,HeyReach,P0_PRTN_DallasLocalOutreach_DarwinboxEvent_US_EMAIL_LI_15JUN26,80%
P0_PRTN_PeopleStrongClientsOutreach_Email_LI_IND_US_AUS_GCC_NicholesRakesh_28MAY26,Smartlead,P0_PRTN_PeopleStrongClientsOutreach_Email_LI_GCC_NicholesRakesh_30MAY26,71%
P0_PRTN_PeopleStrongClientsOutreach_Email_LI_IND_US_AUS_GCC_NicholesRakesh_28MAY26,Smartlead,P0_PRTN_PeopleStrongClientsOutreach_Email_LI_AUS_NicholesRakesh_30MAY26,71%
P0_PRTN_PeopleStrongClientsOutreach_Email_LI_IND_US_AUS_GCC_NicholesRakesh_28MAY26,Smartlead,P0_PRTN_PeopleStrongClientsOutreach_Email_LI_US_NicholesRakesh_30MAY26,70%
P0_PRTN_PeopleStrongClientsOutreach_Email_LI_IND_US_AUS_GCC_NicholesRakesh_28MAY26,Smartlead,P0_PRTN_PeopleStrongClientsOutreach_Email_LI_IND_NicholesRakesh_30MAY26,71%
P0_PRTNR_BAMBOOHRClientOutreach_US_EMAIL_YashRakesh_20MAY26,Smartlead,P0_PRTNR_BAMBOOHRClientOutreach_US_EMAIL_YashRakesh_20MAY26,95%
P0_PRTNR_BAMBOOHRClientOutreach_US_EMAIL_YashRakesh_20MAY26,Smartlead,P0_PRTNR_SAPAE_US_EMAIL-LI_YashrRakesh_21MAY26,71%
P0_PRTNR_NETCORE_IND_EMAIL-LI-WP-CALL_Akshima10Apr2026,UNMATCHED,—,0%
P0_PRTNR_POSTEVENT_IND_LI_poornima-shafia_20APR2026,UNMATCHED,—,0%
P0_PRTNR_POSTEVENTPOCKETHRMS_IND_LI_poornima-shafia,UNMATCHED,—,0%
P0_PRTNR_POSTEVENTSPRINGWORKS(TSOW)_IND_LI_poornima-shafia-Sanjeeda,UNMATCHED,—,0%
P0_PRTNR_Salesforce_Global_LI_Ambika-shafia,HeyReach,P0_PRTNR_Salesforce_Global_LI_Ambika-shafia,95%
P0_PRTNR_SAPAE_US_EMAIL_YashrRakesh_21MAY26,Smartlead,P0_PRTNR_SAPAE_US_EMAIL-LI_YashrRakesh_21MAY26,90%
P0_PRTNR_SAPAE_US_EMAIL_YashrRakesh_21MAY26,Smartlead,P0_PRTNR_BAMBOOHRClientOutreach_US_EMAIL_YashRakesh_20MAY26,66%
P0_PRTNR_SAPAE_US_EMAIL_YashrRakesh_21MAY26,HeyReach,P0_PRTNR_SAPAE_US_LI_AmyPranshu_YashrRakesh_21MAY26,67%
P0_PRTNR_SAPAE_US_EMAIL_YashrRakesh_21MAY26,HeyReach,P0_PRTNR_SAPAE_US_LI_ABHI_YashrRakesh_21MAY26,67%
P0_PRTNR_SAPAE_US_LI_YashrRakesh_21MAY26,Smartlead,P0_PRTNR_SAPAE_US_EMAIL-LI_YashrRakesh_21MAY26,90%
P0_PRTNR_SAPAE_US_LI_YashrRakesh_21MAY26,HeyReach,P0_PRTNR_SAPAE_US_LI_AmyPranshu_YashrRakesh_21MAY26,90%
P0_PRTNR_SAPAE_US_LI_YashrRakesh_21MAY26,HeyReach,P0_PRTNR_SAPAE_US_LI_ABHI_YashrRakesh_21MAY26,90%
P0_SalesforceSlackWelcome Group_US_Email-LI-ShafiaAmbika_20Apr26,UNMATCHED,—,0%
P0_SMB_IND_CAM_LOYALIFE-COMPASS_ArjitaSanjeeda ,Smartlead,P0_SMB_IND_LOYALIFE-COMPASS_ArjitaSanjeeda_Loyalife ,88%
P0_SMB_IND_CAM_LOYALIFE-COMPASS_ArjitaSanjeeda ,Smartlead,P0_SMB_IND_LOYALIFE-COMPASS_ArjitaSanjeeda_Compass,88%
P0_SMB_IND_CAM_LOYALIFE-COMPASS_ArjitaSanjeeda ,Smartlead,P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Loyalife,77%
P0_SMB_IND_CAM_LOYALIFE-COMPASS_ArjitaSanjeeda ,Smartlead,P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,77%
P0_SMB_IND_CAM_LOYALIFE-COMPASS_ArjitaSanjeeda ,HeyReach,P0_SMB_IND_LOYALIFE-COMPASS_ArjitaSanjeeda_Loyalife,88%
P0_SMB_IND_CAM_LOYALIFE-COMPASS_ArjitaSanjeeda ,HeyReach,P0_SMB_IND_LOYALIFE-COMPASS_ArjitaSanjeeda_Compass,88%
P0_SMB_IND_CAM_LOYALIFE-COMPASS_ArjitaSanjeeda ,HeyReach,P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Loyalife,77%
P0_SMB_IND_CAM_LOYALIFE-COMPASS_ArjitaSanjeeda ,HeyReach,P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,77%
P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,Smartlead,P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Loyalife,95%
P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,Smartlead,P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,95%
P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,Smartlead,P0_SMB_IND_LOYALIFE-COMPASS_ArjitaSanjeeda_Loyalife ,77%
P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,Smartlead,P0_SMB_IND_LOYALIFE-COMPASS_ArjitaSanjeeda_Compass,80%
P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,HeyReach,P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Loyalife,95%
P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,HeyReach,P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,95%
P0_SMB_IND_LOYALIFE-COMPASS_NeelamSanjeeda_Compass,HeyReach,P0_SMB_IND_LOYALIFE-COMPASS_ArjitaSanjeeda_Loyalife,77%
