Name,Website,Category,Products,Employees,Revenue,Funding,Region,Status,AI Innovator,Recent Funding,Founded,HQ,Threat,Notes,
Global GoGift,https://www.global.gogift.com,Gift Cards,"Plum,Loyalife",51-200,—,—,Europe,Active,No,,2003,Denmark,Medium,Multi-choice gift cards. 100+ countries.,
Global Reward Solutions,https://www.globalrewardsolutions.com,Reward Marketplace,Plum,51-200,—,—,Canada,Active,No,,2010,Canada,Low,Marketplace for all reward types.,
Globoforce (WorkHuman),https://www.workhuman.com,Employee RnR,Empuls,1001-5000,$150M+,$131.5M,Global,Active,Yes,,1999,Ireland,High,Social recognition & AI analytics.,
Glue Loyalty,https://glueloyalty.com,Loyalife,,11-50,—,—,Loyalty SMB,MEA,No,Loyalty & rewards software for small businesses.,2020,Israel,Low,,
GMS Group,https://www.gms-group.com,Loyalife,,51-200,$18.6M,—,Loyalty / Payments,Europe,No,Loyalty & payment solutions. Swiss market.,2005,Switzerland,Low,,
GoGamify,https://www.gogamify.com,Compass,,11-50,—,—,Sales Gamification,USA,No,Sales gamification & performance platform. Early stage.,2022,USA,Low,,
GoHappyHub,https://www.gohappyhub.com,Empuls,,11-50,$3.9M,—,Blue Collar App,USA,No,Frontline worker communication & engagement app.,2019,USA,Low,,
GoNuclei,https://www.gonuclei.com,Employee Benefits,Empuls,51-200,—,—,India,Active,No,,2015,India,Medium,Employee benefits & perks. India.,
Goody Plus,https://www.ongoody.com,Corp Gifting,Plum,11-50,$12M,$32M,USA,Active,No,$32M raised,2020,USA,Medium,Consumer-grade gifting. $32M raised.,
GoProfiles,https://www.goprofiles.io,Empuls,,51-200,—,—,Employee Profiles,USA,No,Employee profile & recognition platform. Early stage.,2022,USA,Low,,
GoTeamo,https://www.goteamo.com,Empuls,,11-50,—,—,Team Engagement,Global,No,Team engagement & collaboration platform.,2019,—,Low,,
Gratifi,https://www.gratifi.com,Full Engagement,"Empuls,Compass",11-50,$326.3K,—,India,Active,No,,2017,India,Low,Employee engagement & sales incentives.,
Gratifii,https://gratifii.com,Loyalty Software,Loyalife,51-200,—,—,APAC,Active,No,,2019,Australia,Low,Loyalty software for Australian market.,
Great Place to Work,https://greatplacetowork.me,Empuls,,51-200,$5.8M,—,Employee Surveys,Global,No,Global benchmark for workplace culture & employee surveys.,1991,USA,Medium,,
Great Work Perks,https://www.greatworkperks.com,Empuls,,11-50,—,—,Perks / Discounts,USA,No,Employee perks & discount platform. US market.,2008,USA,Low,,
Growave,https://www.growave.io,eComm Loyalty,Loyalife,51-200,—,—,Global,Active,No,,2014,USA,Low,"eCommerce loyalty, reviews & referrals.",
Guusto,https://guusto.com,Gift Cards/RnR,"Plum,Empuls",51-200,$3.5M,$167.5K,Canada,Active,No,,2013,Canada,Medium,Peer recognition & gift cards.,
Gyft,https://business.gyft.com,Gift Cards,Plum,51-200,$1.3M,$6.3M,USA,Acquired,No,,2012,USA,Low,Acquired by Fiserv.,
Haiilo,https://haiilo.com,Intranet,Empuls,201-500,$40.4M,—,Europe,Active,No,,2010,Germany,Low,Social intranet & communications.,
Halo Recognition,https://halorecognition.com,Employee RnR,Empuls,1001-5000,$17.9M,—,USA,Active,No,,1935,USA,Medium,Employee recognition & promotional.,
Hang,https://www.hang.com,Loyalife,,51-200,—,—,Consumer Loyalty,USA,No,Web3-based consumer loyalty & membership platform.,2020,USA,Low,,
Hapi,https://www.hapi.co.uk,Empuls,,11-50,—,—,Employee Benefits,Europe,No,Employee benefits & wellbeing platform. UK.,2012,UK,Low,,
Happeo,https://www.happeo.com,Intranet,Empuls,51-200,$7M,—,Europe,Active,No,,2016,Finland,Low,Social intranet platform.,
Haystack Team,https://www.haystackteam.com,Empuls,,11-50,—,—,Employee Profiles,USA,No,Employee profile & company directory platform.,2019,USA,Low,,
Heartland,http://www.heartland.us,Payments/Loyalty,Loyalife,1001-5000,$1.7B,—,USA,Active,No,,1997,USA,Medium,Payment & loyalty solutions.,
HekaHappy,https://www.hekahappy.com,Empuls,,11-50,$22.9M,$2.41M,Employee Wellbeing,Europe,No,Employee wellbeing & health benefits platform.,2016,Finland,Low,,
Hello Team,https://www.helloteam.com,Employee Engagement,Empuls,51-200,$4.3M,$8.1M,USA,Active,No,,2016,USA,Low,HR tech & employee engagement.,
Herald Logic,http://www.heraldlogic.com,Channel Mgmt,Compass,51-200,$2.54M,$220K,India,Active,No,,2004,India,Low,Channel management software. India.,
Hey Taco,https://heytaco.com,Slack RnR,Empuls,2-10,—,—,USA,Active,No,,2016,USA,Low,Slack-based peer recognition.,
Hi Thrive,https://www.hithrive.com,Slack RnR,Empuls,2-10,—,—,USA,Active,No,,2013,USA,Low,Slack recognition & rewards.,
Hinda,https://www.hinda.com,All Rewards,"Plum,Empuls,Compass",51-200,$15.2M,—,USA,Active,No,,1960,USA,Medium,Full-service incentive & recognition.,
HMC Loyalty,https://www.hmcloyalty.com,Loyalife,,1001-5000,—,—,Loyalty Programs,USA,No,Full-service loyalty program management. California.,1988,USA,Low,,
HMI Performance,https://hmiaward.com,Sales Incentives,Compass,51-200,$13.9M,—,USA,Active,No,,1980,USA,Low,Sales incentives & performance awards.,
HSD Metrics,https://hsdmetrics.com,Empuls,,11-50,—,—,HR Surveys,USA,No,Employee & customer experience surveys & benchmarking.,2000,USA,Low,,
HubEngage,https://www.hubengage.com,Employee Engagement,Empuls,11-50,$3.6M,—,USA,Active,No,,2015,USA,Low,Full employee engagement platform.,
Hubley,https://hubley.com,Empuls,,11-50,—,—,Employee Engagement,USA,No,Employee engagement & benefits platform.,2015,USA,Low,,
Huggg,https://www.huggg.me,"Plum, Empuls",,11-50,$2.9M,—,Corporate Gifting,Europe,No,"Corporate gifting & peer recognition. Bristol, UK.",2017,UK,Low,,
Humu,https://humu.com,Employee Feedback,Empuls,51-200,$7.7M,$100.6M,USA,Active,Yes,,2017,USA,Medium,AI employee feedback & nudges.,
Huuray,https://huuray.com,Gift Cards,Plum,11-50,$312K,$334K,Europe,Active,No,,2011,Denmark,Low,Digital gift cards for rewards.,
Iconixx,https://iconixx.com,Sales Compensation,Compass,11-50,$500K,$24M,USA,Active,No,,2010,USA,Low,Sales compensation management.,
IdeaSource,https://www.ideasource.ca,Empuls,,11-50,—,—,Employee RnR,Canada,No,Employee recognition & reward programs. Canada.,2002,Canada,Low,,
IDynamics,https://www.idynamics.es,Compass,,11-50,—,—,Sales Incentives,Europe,No,Sales incentive management. Spain.,2009,Spain,Low,,
Ifeelgoods,https://www.ifeelgoods.com,Gift Cards,Plum,11-50,$3.5M,$13.6M,Global,Active,No,,2010,USA,Low,Gift cards as reward for promotions.,
Igloo Software,https://www.igloosoftware.com,Intranet,Empuls,51-200,$29M,—,Canada,Active,No,,2008,Canada,Low,Intranet & collaboration platform.,
Ignite Retail,https://ignite-retail.com,Loyalife,,51-200,—,—,Retail Loyalty,Europe,No,Retail technology & loyalty programs. UK.,2000,UK,Low,,
IGT Solutions,https://www.igtsolutions.com,Loyalty BPO,Loyalife,10000+,$123M,—,Global,Active,No,,1998,India,Low,Loyalty management & BPO services.,
Incentco,https://incentco.com,Empuls,,11-50,—,—,Employee RnR,USA,No,Employee incentive & recognition platform.,2015,USA,Low,,
Incentivate,https://incentivate.in,Sales Incentives,Compass,11-50,$650K,—,India,Active,No,,2020,India,Medium,Sales incentive & commission. India.,
Incentive Pilot,https://incentivepilot.com,"Plum, Compass",,11-50,—,—,Channel Incentives,USA,No,Channel incentive & reward management platform.,2012,USA,Low,,
Incentives Solutions,https://incentives-solutions.com,Sales Incentives,Compass,11-50,$3.5M,—,MEA,Active,No,,2006,Israel,Low,Sales incentive management.,
Incomm,https://www.incommincentives.com,Gift Cards,Plum,1001-5000,$724M,—,Global,Active,No,,1992,USA,High,Leading gift card distribution network.,
Infeedo,https://infeedo.com,AI Surveys,Empuls,201-500,$13M,$14M,India,Active,Yes,,2013,India,Medium,AI people analytics & engagement.,
Influence.io,https://www.influence.io,Loyalife,,11-50,—,—,Loyalty / Referrals,USA,No,"Loyalty, referrals & customer engagement platform.",2015,USA,Low,,
Influitive,http://www.influitive.com,Customer Advocacy,Loyalife,51-200,$18.3M,$59.8M,Canada,Active,No,,2010,Canada,Low,Customer loyalty & advocacy platform.,
Innovativeincentives,https://www.innovativeincentives.in,All Rewards,"Plum,Empuls",11-50,$4M,—,India,Active,No,,2004,India,Low,End-to-end incentive & loyalty. India.,
Inspirus,https://www.inspirus.com,Employee Engagement,Empuls,51-200,$18.5M,—,USA,Active,No,,1890,USA,Medium,Sodexo-owned employee engagement.,
Interact Software,https://www.interactsoftware.com,Empuls,,201-500,—,—,Intranet,Europe,No,Enterprise intranet software. UK-focused.,2007,UK,Low,,
ITA Group,https://www.itagroup.com,Incentives/Events,"Empuls,Compass",501-1000,—,—,USA,Active,No,,1963,USA,Medium,"Channel, sales & employee incentives.",
Jakala,https://www.jakala.com,Loyalty/Marketing,Loyalife,1001-5000,$634M,—,Europe,Active,No,,2000,Italy,Medium,Loyalty & CRM consulting. Italy.,
Join Assembly,https://www.joinassembly.com,Employee RnR,Empuls,11-50,—,—,USA,Active,No,,2017,USA,Low,Peer recognition with automation.,
Join Perry,https://www.joinperry.com,Compass,,11-50,—,—,Sales Gamification,USA,No,Gamification & incentives for frontline workers.,2020,USA,Low,,
Jostle,https://jostle.me,Intranet,Empuls,51-200,$12M,$5.84M,Canada,Active,No,,2009,Canada,Low,Intranet & recognition platform.,
Kangaroo Rewards,https://loyalty.kangaroorewards.com,Loyalty SaaS,Loyalife,11-50,$1M,—,Canada,Active,No,,2012,Canada,Low,SaaS rewards & loyalty for SMBs.,
Kard,https://www.getkard.com,Card-linked Offers,Loyalife,~60,$12M,$23M,USA,Active,No,$23M raised,2016,USA,Medium,Card-linked offers for fintechs.,
Karmabot,https://karmabot.chat,Slack Engagement,Empuls,11-50,—,—,Global,Active,No,,2016,New Zealand,Low,Slack/Teams recognition.,
Kennect,https://www.kennect.io,Sales Incentives,Compass,11-50,—,—,India,Active,No,,2019,India,Medium,Sales incentive & commission. India.,
Klarr HQ,https://www.klaarhq.com,OKR/Surveys,Empuls,11-50,—,—,India,Active,No,,2018,India,Low,"OKR, feedback & surveys. India.",
Kobie,https://kobie.com,Loyalty Marketing,Loyalife,201-500,$103.8M,—,USA,Active,No,,1990,USA,High,End-to-end loyalty marketing programs.,
Kognitiv,https://www.kognitiv.com,Loyalty Platform,Loyalife,201-500,$1M,$35M,Canada,Active,No,,2016,Canada,Medium,Network-based loyalty. Acquired Aimia.,
Kudo Board,https://www.kudoboard.com,RnR Cards,Empuls,11-50,$2.3M,—,USA,Active,No,,2015,USA,Low,Customised recognition cards.,
Kudos,https://www.kudos.com,Employee RnR,Empuls,51-200,$13.9M,$15.8M,Global,Active,No,,2010,Canada,Medium,Recognition & peer appreciation.,
Kwench (OC Tanner),https://www.kwench.com,Employee RnR,Empuls,1001-5000,$10M,$735K,India,Acquired,No,,2008,India,Low,Acquired by OC Tanner.,
Latitude 39,https://latitude39.com,Compass,,11-50,—,—,Channel Incentives,USA,No,Channel incentive & partner rewards. Wyoming.,2015,USA,Low,,
Lattice,https://lattice.com,HR & Performance,Empuls,501-1000,$120M,$330M,Global,Active,Yes,,2015,USA,Medium,"Performance, engagement & HRMS. $330M.",
LeadSquared Ace,https://www.leadsquared.com,Sales CRM,Compass,1001-5000,$36.9M,$204M,India,Active,Yes,,2011,India,Medium,Sales incentive & CRM platform. India.,
Leapsome,https://www.leapsome.com,Recognition/OKR,Empuls,51-200,$2M,$60M,Europe,Active,Yes,,2016,Germany,Medium,"Recognition, OKR & HRMS. Germany.",
Legion,https://legion.co,Blue Collar App,Empuls,51-200,$10.5M,$145M,USA,Active,No,,2016,USA,Low,Frontline workforce management.,
LevelEleven,https://leveleleven.com,Sales Gamification,Compass,2-10,$28K,$7.5M,USA,Active,No,,2012,USA,Low,Sales contests & KPI gamification.,
Lifemart,https://www.care.com/lifemart,Empuls,,11-50,—,—,Perks,USA,No,Employee perk & lifestyle discount marketplace.,2010,USA,Low,,
Liferay,https://www.liferay.com,Empuls,,1001-5000,—,—,Digital Experience Platform,Global,No,Enterprise digital experience & intranet platform.,2004,USA,Low,,
Limeade,https://www.limeade.com,Employee Experience,Empuls,51-200,$45M,$34.6M,USA,Active,No,,2006,USA,Low,Corporate wellness programs.,
LiveTiles,https://livetilesglobal.com,Empuls,,51-200,$19.6M,$46M,Intranet / Blue Collar,Global,No,Intranet & frontline worker app. $46M raised.,2015,USA,Low,,
LoLoyal,https://www.loloyal.com,Loyalife,,11-50,—,—,eComm Loyalty,Global,No,Shopify loyalty program app for eCommerce brands.,2020,UK,Low,,
Loopy Loyalty,https://loopyloyalty.com,Loyalife,,11-50,—,—,Digital Stamp Cards,USA,No,Digital stamp card loyalty for small businesses.,2014,USA,Low,,
Lootly,https://lootly.io,Loyalife,,2-10,—,—,Loyalty / Referrals,USA,No,"Referrals, loyalty programs & incentive marketing.",2018,USA,Low,,
Loyalti,https://loyalti.com,Loyalife,,11-50,—,—,Loyalty Platform,USA,No,Loyalty platform for businesses. US market.,2019,USA,Low,,
Loyalty Juggernaut,https://www.lji.io,Enterprise Loyalty,Loyalife,201-500,$2.66M,—,Global,Active,Yes,,2014,USA,Medium,Enterprise loyalty software & API.,
Loyalty.com (AIR MILES),https://www.loyalty.com,Loyalife,,51-200,—,—,Loyalty Consulting,USA,No,Loyalty program consulting & AIR MILES operator.,1992,USA,Medium,,
LoyaltyLane,https://loyaltylane.com,Loyalife,,11-50,—,—,Loyalty Platform,USA,No,Loyalty program management. US market.,2015,USA,Low,,
LoyaltyLion,https://loyaltylion.com,eComm Loyalty,Loyalife,51-200,$6.8M,$12.9M,Global,Active,Yes,,2012,UK,Medium,AI eCommerce loyalty. Shopify-strong.,
LoyaltyPlant,https://loyaltyplant.com,Loyalty Platform,Loyalife,51-200,$13.5M,—,USA,Active,No,,2011,USA,Medium,Mobile loyalty for restaurants.,
LoyaltyRewardz,https://www.loyaltyrewardz.com,Loyalty Platform,Loyalife,201-500,$39.4M,$28.3M,India,Active,No,,2008,India,Medium,Loyalty for retail & financial services.,
LoyaltySurf,https://loyaltysurf.io,Loyalife,,2-10,—,—,Loyalty Platform,USA,No,Lightweight loyalty & referral platform for SaaS.,2018,USA,Low,,
Loyalytics.ai,https://loyalytics.ai,Loyalife,,11-50,—,—,AI Loyalty Analytics,India,Yes,AI-powered loyalty analytics & customer insights platform.,2019,India,Medium,,
Loyalzoo,https://www.loyalzoo.com,Loyalty SMB,Loyalife,11-50,$870K,$1.96M,Europe,Active,No,,2013,UK,Low,Digital loyalty for small businesses.,
Loyesys,https://loyesys.com,Loyalife,,11-50,—,—,Loyalty SaaS,India,No,Loyalty management SaaS for Indian businesses.,2018,India,Low,,
Loylogic,https://www.loylogic.com,Loyalty Design,Loyalife,51-200,$1.77M,—,Europe,Active,No,,2005,Switzerland,Low,Loyalty program design & management.,
Loyverse,https://loyverse.com,Loyalife,,11-50,—,—,POS / Loyalty,Europe,No,Free POS & loyalty app. 250K+ SMB users worldwide.,2014,Lithuania,Low,,
Loyyal,https://loyyal.com,Loyalife,,11-50,—,$3.8M,Blockchain Loyalty,Global,No,Blockchain-based loyalty & rewards infrastructure.,2014,USA,Low,,
Lucky Carrot,https://luckycarrotapp.com,Empuls,,11-50,$2M,—,Employee RnR,USA,No,Peer recognition & employee rewards platform.,2015,USA,Low,,
LumApps,https://www.lumapps.com,Intranet,Empuls,501-1000,$60M,$102M,Global,Active,No,,2012,France,Low,Enterprise intranet & communications.,
M2P Fintech,https://m2pfintech.com,Neobank/Prepaid,Plum,1001-5000,$159.8M,$107M,India,Active,Yes,$45M Series D,2014,India,Medium,AI neobanking & prepaid card issuance.,
Madison Performance,https://www.madisonpg.com,Rewards & Incentives,"Empuls,Compass",51-200,$22.3M,—,USA,Active,No,,1974,USA,Medium,Reward & recognition. US enterprise.,
Mahindra Comviva,https://www.comviva.com,Loyalty/MarTech,Loyalife,1001-5000,$156M,$13.5M,Global,Active,Yes,,1999,India,High,Telecom & financial loyalty. Mahindra.,
Marigold Loyalty,https://meetmarigold.com,Loyalty/CRM,Loyalife,1001-5000,—,$410M,Global,Active,Yes,,2000,USA,High,Formerly Cheetah Digital. Enterprise.,
Maritz,https://www.maritz.com,All Rewards,"Plum,Empuls,Compass,Loyalife",1001-5000,$994M,$34M,Global,Active,No,,1894,USA,High,World's largest loyalty & incentive co.,
Marsello,https://www.marsello.com,Loyalty/Email,Loyalife,11-50,—,—,APAC,Active,No,,2017,New Zealand,Low,Loyalty & email for retail & eCommerce.,
Mednefits,https://www.mednefits.com,Benefits,Empuls,11-50,$4M,$8.92M,APAC,Active,No,,2015,Singapore,Low,Digital employee healthcare & benefits.,
Meritincentives,https://www.meritincentives.com,All Rewards,"Plum,Empuls,Compass",51-200,$11.4M,$16M,MEA,Active,No,,2016,UAE,Medium,Full rewards & incentives. Middle East.,
Merkle,https://www.merkle.com,Loyalty/CRM,Loyalife,5001-10000,$1.3B,Dentsu,Global,Acquired,Yes,,1971,USA,Medium,Dentsu-owned. Data-driven loyalty & CRM.,
Mesh.ai,https://www.mesh.ai,Performance/Surveys,Empuls,51-200,$19.2M,$16M,Global,Active,Yes,,2020,USA,Medium,AI performance & engagement.,
Moneythor,https://moneythor.com,Banking Loyalty,Loyalife,11-50,$6.3M,—,APAC,Active,No,,2013,Singapore,Low,Loyalty & personalization for banks.,
Motivforce,https://www.motivforce.com,Loyalty Programs,Loyalife,51-200,—,—,Europe,Active,No,,2010,UK,Low,Employee & channel loyalty programs.,
Motivosity,https://www.motivosity.com,Employee RnR,Empuls,51-200,$17.1M,$22M,Global,Active,Yes,$22M Series A,2013,USA,Medium,AI employee recognition. $22M raised.,
MTM Recognition,https://mtmrecognition.com,Employee RnR,Empuls,500-1000,$99.2M,—,USA,Active,No,,1971,USA,Medium,Employee recognition programs.,
Munero,https://www.munero.net,Payments/Rewards,Plum,11-50,—,—,Europe,Active,No,,2018,Europe,Low,Payments & reward solutions.,
Naehas,https://www.naehas.com,Offer Mgmt,Plum,50-100,$40M,—,USA,Active,Yes,,2008,USA,Low,AI offer creation for financial services.,
Nectar,https://nectarhr.com,Employee RnR,Empuls,11-50,—,—,USA,Active,No,,2015,USA,Medium,Modern recognition & engagement.,
Net Carrot,http://www.netcarrots.com,Loyalty Agency,Loyalife,51-200,$2.3M,—,India,Active,No,,2000,India,Low,Loyalty consulting & consumer promo.,
NimbleCompensation,https://www.nimblecompensation.com,Compass,,51-200,—,—,Sales Commission,USA,No,Agile sales commission & compensation management.,2018,USA,Low,,
Nium,https://www.nium.com,Payments/BaaS,Plum,501-1000,$201.4M,$310M,Global,Active,Yes,$200M Series D,2015,Singapore,Medium,Unicorn. AI global payments & BaaS.,
Novus Loyalty,https://www.novusloyalty.com,Loyalty,Loyalife,11-50,$8.8M,—,India,Active,No,,2015,India,Low,Loyalty programs for Indian market.,
Nth Rewards,https://nthrewards.com,Gift Cards,Plum,11-50,—,—,India,Active,No,,2019,India,Low,Gift cards & eVouchers for India.,
NTI Loyalty,https://ntiloyalty.com,Loyalife,,11-50,—,—,Loyalty Platform,Global,No,Loyalty platform solutions for businesses.,2018,—,Low,,
Nudge (Axonify),https://nudge.co,Blue Collar App,Empuls,201-500,—,$15M,Canada,Active,No,,2013,Canada,Low,Frontline employee engagement.,
O4S,https://o4s.io,Channel Incentives,Compass,51-200,$1.09M,$11M,India,Active,Yes,,2017,India,Medium,AI channel sales & distributor incentives.,
Oappso Loyalty,https://loyalty.oappso.com,Loyalife,,11-50,—,—,Loyalty SMB,Global,No,Loyalty app for small & medium businesses.,2016,—,Low,,
OC Tanner,https://www.octanner.com,Employee RnR,Empuls,1001-5000,$434.5M,—,Global,Active,Yes,,1927,USA,High,Global leader in employee recognition.,
Officevibe,https://www.officevibe.com,Surveys,Empuls,51-200,$5.5M,$1M,Canada,Active,No,,2014,Canada,Low,Employee engagement surveys.,
Okendo,https://okendo.io,Loyalife,,51-200,—,$26M,Reviews / Loyalty,APAC,No,"Customer reviews, loyalty & referrals for eCommerce.",2018,Australia,Low,,
Onaroll,https://www.onaroll.co,Employee RnR,Empuls,11-50,$15.1M,$2M,USA,Active,No,,2020,USA,Low,Frontline worker recognition.,
Onbe,https://www.onbe.com,Payouts,Plum,201-500,$69.9M,—,USA,Active,No,,2015,USA,Low,Corporate payouts & prepaid solutions.,
One Strive,https://www.onestrive.com,Empuls,,11-50,—,—,Blue Collar App,USA,No,Employee engagement app for frontline workers.,2015,USA,Low,,
Online Rewards,https://online-rewards.com,All Rewards,"Plum,Empuls",11-50,$9.7M,—,USA,Active,No,,2002,USA,Low,Full-service rewards & recognition.,
Open Loyalty,https://openloyalty.io,Loyalty API,Loyalife,11-50,—,$5M,Global,Active,Yes,,2016,Poland,Medium,Headless loyalty platform API.,
Optymyze,https://optymyze.com,Sales Perf Mgmt,Compass,51-200,$112.7M,—,USA,Active,No,,2011,USA,Medium,Sales performance & compensation SaaS.,
Oracle CrowdTwist,https://www.oracle.com,Enterprise Loyalty,Loyalife,10000+,—,Oracle,Global,Active,Yes,,2011,USA,High,Oracle-backed enterprise loyalty.,
Oracle SPM,https://www.oracle.com,Sales Perf Mgmt,Compass,10000+,$811M,—,Global,Active,Yes,,1977,USA,High,Oracle sales performance & SPM suite.,
OSF Digital,https://osf.digital,Loyalty Consulting,Loyalife,1001-5000,$424M,$143M,Global,Active,No,,2003,Canada,Medium,Salesforce consulting for loyalty & CRM.,
Palettehq,https://www.palettehq.com,Sales Commission,Compass,2-10,—,—,USA,Active,No,,2021,USA,Low,Sales commission management platform.,
Papyrs,https://papyrs.com,Empuls,,11-50,—,—,Intranet,Global,No,Simple intranet & wiki for teams.,2012,USA,Low,,
Paystone,https://www.paystone.com,POS/Loyalty,"Plum,Loyalife",51-200,$41M,$99M,Canada,Active,No,$99M raised,2009,Canada,Medium,"POS, loyalty & gift cards. $99M raised.",
Paytronix,https://www.paytronix.com,Loyalty/Guest Engmt,Loyalife,201-500,$57M,$75M,USA,Active,Yes,,2001,USA,Medium,Loyalty for restaurants & retail.,
Paywith,https://www.paywith.com,Loyalife,,11-50,$2.6M,—,Loyalty / Payments,Canada,No,Loyalty & payment integration platform.,2012,Canada,Low,,
Pazcare,https://www.pazcare.com,Insurance/Benefits,Empuls,51-200,$785K,$12M,India,Active,No,,2020,India,Low,Insurance & benefits. India.,
PBIS Rewards,https://www.pbisrewards.com,Education Rewards,Plum,11-50,—,—,USA,Active,No,,2012,USA,Low,Behavior rewards for K-12 schools.,
PDI Technologies,https://pditechnologies.com,Loyalife,,1001-5000,—,—,Loyalty / Convenience Retail,USA,No,Loyalty programs for convenience & fuel retail.,1983,USA,Low,,
Peachy Mondays,https://www.peachymondays.com,Empuls,,11-50,$1M,—,Employee Surveys,Europe,No,Staff surveys & employee engagement. UK.,2015,UK,Low,,
Peakon (Workday),https://peakon.com,Surveys,Empuls,10000+,$30.7M,$117M,Global,Acquired,Yes,,2015,UK,Medium,Acquired by Workday. AI surveys.,
Peerfives,https://peerfives.com,Empuls,,2-10,—,—,Employee RnR,USA,No,Simple peer-to-peer recognition platform.,2018,USA,Low,,
Pelatro,https://www.pelatro.com,Telecom Loyalty,Loyalife,201-500,$3.88M,—,India,Active,Yes,,2013,India,Low,Loyalty & engagement for telecom.,
People Insight,https://peopleinsight.co.uk,Empuls,,11-50,—,—,Employee Surveys,Europe,No,Employee engagement & culture surveys. UK specialist.,2008,UK,Low,,
People Pulse,https://peoplepulse.com,Empuls,,11-50,—,—,Employee Surveys,APAC,No,Employee survey & pulse feedback platform. APAC.,2005,Australia,Low,,
PeopleBox,https://www.peoplebox.ai,OKR/Surveys,Empuls,11-50,$4.4M,$1.22M,India,Active,Yes,,2018,India,Low,"Survey, OKR & analytics. India.",
Perceptyx,https://www.perceptyx.com,Employee Experience,Empuls,201-500,$108.1M,$7.5M,USA,Active,Yes,,2003,USA,Low,Employee experience & surveys.,
Perdoo,https://www.perdoo.com,Empuls,,11-50,$2.5M,—,OKR Platform,Europe,No,OKR & performance management platform.,2014,Germany,Low,,
Performio,https://www.performio.co,Sales ICM,Compass,51-200,$18.5M,$75M,Global,Active,No,,2006,Australia,Medium,Sales ICM. Strong APAC & Americas.,
PerformYard,https://www.performyard.com,Empuls,,51-200,—,—,Performance Mgmt,USA,No,Employee performance management & reviews.,2013,USA,Low,,
Perkbox,https://www.perkbox.com,Benefits/Perks,Empuls,201-500,$48.1M,$32.8M,Europe,Active,No,,2015,UK,Medium,"Benefits, perks & recognition. UK/EU.",
Perkpal,https://perkpal.co.uk,Perks,Empuls,11-50,—,$2.7M,Europe,Active,No,,2016,UK,Low,Employee perks platform. UK.,
Perks at Work,https://www.perksatwork.com,Perks,Empuls,51-200,—,—,USA,Active,No,,1994,USA,Low,Employee discount & perks platform.,
Perkspot,https://perkspot.com,Perks,Empuls,51-200,$18.5M,$50M,USA,Active,No,,2006,USA,Low,Employee perks & discounts. US.,
Perkville,https://www.perkville.com,Loyalty SaaS,Loyalife,11-50,$2.1M,$4.46M,USA,Active,No,,2010,USA,Low,Loyalty & rewards SaaS.,
Perxtech,https://www.perxtech.com,Loyalty/Gamification,Loyalife,51-200,$2.94M,$5M,APAC,Active,Yes,,2011,Singapore,Medium,AI loyalty & gamification for APAC.,
Plansource,https://plansource.com,Benefits Admin,Empuls,501-1000,$151.8M,$94M,USA,Active,No,,2007,USA,Low,Insurance & benefits administration.,
Plecto,https://www.plecto.com,Sales Gamification,Compass,51-200,$5M,$2.34M,Europe,Active,No,,2012,Denmark,Low,Sales performance dashboards.,
Plutos.one,https://www.plutos.one,Fintech/Rewards,Plum,11-50,—,—,India,Active,No,,2020,India,Low,Fintech & rewards. Early stage.,
Point Recognition,https://www.pointrecognition.com,Empuls,,11-50,—,—,Employee RnR,USA,No,Points-based employee recognition programs.,2005,USA,Low,,
Points.com,https://www.points.com,Loyalty Exchange,Loyalife,201-500,$217M,Public,Global,Active,No,,2000,Canada,Medium,Loyalty currency management. TSX listed.,
Pointsville,https://www.pointsville.com,Loyalife,,11-50,—,—,Loyalty Platform,India,No,Points-based loyalty platform for SMBs. India.,2019,India,Low,,
Poket,https://poket.com,Loyalty,Loyalife,11-50,—,—,APAC,Active,No,,2015,Singapore,Low,Loyalty platform. Singapore-based.,
Poppulo,https://www.poppulo.com,Intranet,Empuls,201-500,$93.3M,—,Global,Active,No,,1996,Ireland,Low,Employee communications & intranet.,
Postal.io,https://postal.io,Corp Gifting,Plum,51-200,$39.7M,$34M,Global,Active,Yes,$34M Series B,2019,USA,Medium,AI direct mail & gifting. $34M raised.,
Pouch Loyalty,https://www.pouchloyalty.com,Loyalife,,2-10,—,—,Loyalty SMB,APAC,No,Loyalty platform for SMBs. Australia.,2022,Australia,Low,,
Power2Motivate,https://www.power2motivate.com,All Rewards,"Plum,Compass",51-200,$2.5M,—,Canada,Active,No,,2007,Canada,Low,Employee & channel incentive programs.,
PraisePal,https://www.praisepal.com,Employee RnR,Empuls,2-10,—,—,Global,Active,No,,2021,Remote,Low,Simple employee recognition platform.,
Praisidio,https://www.praisidio.com,Empuls,,11-50,—,—,Employee RnR,USA,Yes,AI-powered employee recognition & retention.,2020,USA,Low,,
Preferred Patron,https://www.preferredpatron.com,Loyalife,,11-50,—,—,Loyalty / Marketing,USA,No,Loyalty marketing platform for SMBs.,2004,USA,Low,,
Prezzee,https://www.prezzee.com.au,Gift Cards,Plum,201-500,$67.5M,—,APAC,Active,No,,2014,Australia,Medium,Leading gift card marketplace. AUS/NZ.,
Prize Out,https://prizeout.com,Gift Cards,Plum,51-200,$8.5M,$15.5M,USA,Active,No,$15.5M raised,2019,USA,Low,Alt withdrawals & gift cards for fintechs.,
